"","product_id","vendor_id","device_id","sale_month","sales_item_count","sales_amount","capacity","price","X","vendor_product_id","description"
"61249","14:00",2039,25883,"2015-08",20,15,868,0.75,7,"2039:14:00","Coke 12oz Can"
"61250","14:00",2039,25883,"2015-06",20,15,812,0.75,7,"2039:14:00","Coke 12oz Can"
"61251","14:00",2039,25566,"2014-07",18,11.7,58,0.65,7,"2039:14:00","Coke 12oz Can"
"61252","14:00",2039,25882,"2014-10",17,12.75,88,0.75,7,"2039:14:00","Coke 12oz Can"
"61253","14:00",2039,26024,"2015-12",55,46.75,2784,0.85,7,"2039:14:00","Coke 12oz Can"
"61254","14:00",2039,25485,"2014-08",52,13,5580,0.25,7,"2039:14:00","Coke 12oz Can"
"61255","14:00",2039,25567,"2014-05",30,19.5,62,0.65,7,"2039:14:00","Coke 12oz Can"
"61256","14:00",2039,25889,"2015-10",2,3,957,1.5,7,"2039:14:00","Coke 12oz Can"
"61257","14:00",2039,23193,"2014-05",53,45.05,1023,0.85,7,"2039:14:00","Coke 12oz Can"
"61258","14:00",2039,38366,"2014-03",72,46.8,1400,0.65,7,"2039:14:00","Coke 12oz Can"
"61259","14:00",2039,25882,"2014-08",11,8.25,62,0.75,7,"2039:14:00","Coke 12oz Can"
"61260","14:00",2039,25566,"2014-08",21,13.65,62,0.65,7,"2039:14:00","Coke 12oz Can"
"61261","14:00",2039,25485,"2014-02",172,43,10080,0.25,7,"2039:14:00","Coke 12oz Can"
"61262","14:00",2039,25882,"2014-05",7,5.25,62,0.75,7,"2039:14:00","Coke 12oz Can"
"61263","14:00",2039,23193,"2014-04",58,49.3,957,0.85,7,"2039:14:00","Coke 12oz Can"
"61264","14:00",2039,25567,"2014-09",6,3.9,16,0.65,7,"2039:14:00","Coke 12oz Can"
"61265","14:00",2039,38265,"2015-04",21,15.75,60,0.75,7,"2039:14:00","Coke 12oz Can"
"61266","14:00",2039,38265,"2015-05",18,13.5,54,0.75,7,"2039:14:00","Coke 12oz Can"
"61267","14:00",2039,25567,"2014-02",80,52,112,0.65,7,"2039:14:00","Coke 12oz Can"
"61268","14:00",2039,26024,"2015-09",37,31.45,2784,0.85,7,"2039:14:00","Coke 12oz Can"
"61269","14:00",2039,23177,"2014-04",38,28.5,54,0.75,7,"2039:14:00","Coke 12oz Can"
"61270","14:00",2039,38265,"2014-12",11,8.25,42,0.75,7,"2039:14:00","Coke 12oz Can"
"61271","14:00",2039,25883,"2014-10",22,16.5,1176,0.75,7,"2039:14:00","Coke 12oz Can"
"61272","14:00",2039,25889,"2015-12",0,0,594,1.5,7,"2039:14:00","Coke 12oz Can"
"61273","14:00",2039,25883,"2014-08",13,9.75,868,0.75,7,"2039:14:00","Coke 12oz Can"
"61274","14:00",2039,25883,"2014-09",10,7.5,616,0.75,7,"2039:14:00","Coke 12oz Can"
"61275","14:00",2039,25567,"2014-06",12,7.8,38,0.65,7,"2039:14:00","Coke 12oz Can"
"61276","14:00",2039,26024,"2014-03",104,78,3648,0.75,7,"2039:14:00","Coke 12oz Can"
"61277","14:00",2039,25485,"2014-09",43,10.75,3780,0.25,7,"2039:14:00","Coke 12oz Can"
"61278","14:00",2039,38265,"2015-03",21,15.75,54,0.75,7,"2039:14:00","Coke 12oz Can"
"61279","14:00",2039,25889,"2015-01",0,0,957,1.5,7,"2039:14:00","Coke 12oz Can"
"61280","14:00",2039,25567,"2014-04",44,28.6,58,0.65,7,"2039:14:00","Coke 12oz Can"
"61281","14:00",2039,38265,"2015-01",17,12.75,62,0.75,7,"2039:14:00","Coke 12oz Can"
"61282","14:00",2039,25485,"2014-01",176,44,10800,0.25,7,"2039:14:00","Coke 12oz Can"
"61283","14:00",2039,25485,"2014-04",76,19,5220,0.25,7,"2039:14:00","Coke 12oz Can"
"61284","14:00",2039,25840,"2015-09",194,145.5,957,0.75,7,"2039:14:00","Coke 12oz Can"
"61285","14:00",2039,25840,"2015-02",102,76.5,825,0.75,7,"2039:14:00","Coke 12oz Can"
"61286","14:00",2039,25882,"2014-09",4,3,44,0.75,7,"2039:14:00","Coke 12oz Can"
"61287","14:00",2039,38265,"2015-02",24,18,56,0.75,7,"2039:14:00","Coke 12oz Can"
"61288","14:00",2039,25883,"2014-05",14,10.5,868,0.75,7,"2039:14:00","Coke 12oz Can"
"61289","14:00",2039,23177,"2014-06",28,21,34,0.75,7,"2039:14:00","Coke 12oz Can"
"61290","14:00",2039,26024,"2014-01",164,123,5760,0.75,7,"2039:14:00","Coke 12oz Can"
"61291","14:00",2039,26024,"2014-02",180,135,5376,0.75,7,"2039:14:00","Coke 12oz Can"
"61292","14:00",2039,25567,"2014-08",39,25.35,62,0.65,7,"2039:14:00","Coke 12oz Can"
"61293","14:00",2039,25889,"2014-12",0,0,660,1.5,7,"2039:14:00","Coke 12oz Can"
"61294","14:00",2039,25485,"2014-03",76,19,6840,0.25,7,"2039:14:00","Coke 12oz Can"
"61295","14:00",2039,25567,"2014-01",74,48.1,120,0.65,7,"2039:14:00","Coke 12oz Can"
"61296","14:00",2039,26024,"2014-04",73,54.75,2784,0.75,7,"2039:14:00","Coke 12oz Can"
"61297","14:00",2039,25567,"2014-03",52,33.8,80,0.65,7,"2039:14:00","Coke 12oz Can"
"61298","14:00",2039,25882,"2014-04",16,12,58,0.75,7,"2039:14:00","Coke 12oz Can"
"61299","14:00",2039,23193,"2014-03",92,78.2,1254,0.85,7,"2039:14:00","Coke 12oz Can"
"61300","14:00",2039,25883,"2014-06",14,10.5,504,0.75,7,"2039:14:00","Coke 12oz Can"
"61301","14:00",2039,25889,"2015-09",1,1.5,957,1.5,7,"2039:14:00","Coke 12oz Can"
"61302","14:00",2039,25993,"2014-01",20,15,120,0.75,7,"2039:14:00","Coke 12oz Can"
"61303","14:00",2039,23177,"2014-05",43,32.25,62,0.75,7,"2039:14:00","Coke 12oz Can"
